D3,HR,TILT,FQ,OBS,RSRP
372.9034728,2.446428571,12.9,2600,0,-93
380.5049277,2.403508772,12.4,2600,0,-90
388.5369995,2.446428571,12.3,2600,0,-89
394.40715,2.446428571,12.1,2600,0,-89
401.2605139,2.446428571,11.9,2600,0,-81
410.0792606,2.446428571,11.6,2600,0,-84
417.5416147,2.362068966,11.1,2600,0,-81
424.2322477,2.322033898,10.8,2600,0,-83
432.0983684,2.322033898,10.6,2600,0,-90
439.4473802,2.209677419,10,2600,0,-85
447.3320914,2.209677419,9.8,2600,0,-90
455.2208255,2.209677419,9.6,2600,0,-90
462.4554033,2.283333333,9.7,2600,0,-88
471.4965535,2.322033898,9.7,2600,0,-83
480.3748536,2.322033898,9.5,2600,0,-89
490.2448368,2.322033898,9.3,2600,0,-87
490.2448368,2.322033898,9.3,2600,0,-82
493.2068532,2.322033898,9.2,2600,0,-90
493.844105,2.014705882,8.1,2600,1,-93
494.8343157,2.014705882,8.1,2600,1,-97
495.8245657,2.014705882,8.1,2600,1,-97
493.6334673,1.223214286,2.9,2600,0,-92
495.6309111,1.223214286,2.9,2600,1,-93
496.847059,1.268518519,3.4,2600,1,-83
497.8453575,1.268518519,3.3,2600,0,-97
496.847059,1.268518519,3.4,2600,1,-104
494.8504825,1.268518519,3.4,2600,1,-103
492.3454072,1.539325843,5.6,2600,1,-95
486.3743414,1.539325843,5.7,2600,0,-81
477.9089872,1.802631579,7.4,2600,0,-85
467.0010707,1.802631579,7.6,2600,0,-85
457.0886129,1.802631579,7.7,2600,0,-83
447.8448392,2.322033898,10.2,2600,0,-85
436.0332556,2.322033898,10.5,2600,0,-85
424.2322477,2.322033898,10.8,2600,0,-101
415.178275,2.490909091,11.6,2600,0,-99
405.3800686,2.490909091,11.9,2600,0,-99
405.3800686,2.490909091,11.9,2600,0,-99
519.8846026,2.322033898,8.7,2600,0,-81
516.9187557,2.322033898,8.8,2600,0,-80
514.6425944,2.245901639,8.6,2600,0,-79
520.5775639,2.245901639,8.5,2600,0,-90
531.6060572,2.283333333,8.4,2600,0,-91
543.4822904,2.283333333,8.2,2600,0,-89
555.3638447,2.283333333,8,2600,0,-87
567.3869932,2.322033898,8,2600,0,-85
578.284532,2.322033898,7.8,2600,0,-83
591.1683347,2.322033898,7.7,2600,0,-85
607.0321244,2.322033898,7.5,2600,0,-85
620.9186742,2.322033898,7.3,2600,0,-87
637.7875822,2.322033898,7.1,2600,0,-91
654.5448801,2.283333333,6.8,2600,0,-94
671.4298176,2.283333333,6.6,2600,0,-92
690.3079023,2.283333333,6.4,2600,0,-91
705.2162789,2.283333333,6.3,2600,0,-95
723.0055325,2.245901639,6.1,2600,0,-101
740.8063175,2.209677419,5.8,2600,0,-99
751.7506235,2.209677419,5.8,2600,0,-99
768.6676785,2.209677419,5.6,2600,0,-97
786.5837527,2.209677419,5.5,2600,0,-99
799.5254843,2.209677419,5.4,2600,0,-95
810.3857106,2.174603175,5.3,2600,0,-95
829.3081454,2.174603175,5.1,2600,0,-92
847.2378651,2.174603175,5,2600,0,-88
867.1631911,2.174603175,4.9,2600,0,-94
885.0988645,2.174603175,4.8,2600,0,-100
903.0370978,2.174603175,4.7,2600,0,-102
916.9907306,2.174603175,4.6,2600,0,-102
935.8514839,2.140625,4.5,2600,0,-104
946.8183564,2.140625,4.4,2600,0,-106
958.6328807,2.075757576,4.3,2600,0,-106
968.6056989,2.075757576,4.2,2600,0,-104
985.4892186,2.044776119,4.1,2600,0,-105
1004.442134,2.044776119,4,2600,0,-105
1014.41806,2.044776119,4,2600,0,-109
1028.185295,1.957142857,3.7,2600,0,-106
1039.162163,1.957142857,3.7,2600,0,-106
1049.141554,1.957142857,3.7,2600,0,-108
1069.101492,1.957142857,3.6,2600,0,-106
1087.943473,1.902777778,3.4,2600,0,-106
1105.911841,1.902777778,3.4,2600,0,-103
1121.714759,1.826666667,3.2,2600,0,-108
1138.689159,1.826666667,3.1,2600,0,-99
1154.612489,1.802631579,3,2600,0,-99
1173.484129,1.756410256,2.9,2600,0,-99
1193.459258,1.756410256,2.8,2600,0,-100
1203.350739,1.7125,2.7,2600,0,-104
1221.330832,1.7125,2.7,2600,0,-105
1237.267958,1.691358025,2.6,2600,0,-107
1252.25277,1.691358025,2.6,2600,0,-105
1268.193203,1.670731707,2.5,2600,0,-109
1284.178337,1.670731707,2.5,2600,0,-99
1303.119335,1.65060241,2.4,2600,0,-107
540.2156977,2.795918367,9.5,2600,0,-87
530.3517701,2.795918367,9.7,2600,0,-85
520.6630388,2.854166667,10,2600,0,-84
509.8284025,2.854166667,10.2,2600,0,-88
498.017068,2.854166667,10.5,2600,0,-89
486.214973,2.854166667,10.7,2600,0,-88
471.4764045,2.854166667,11.1,2600,0,-87
455.9703938,2.914893617,11.6,2600,0,-89
439.3176527,2.914893617,12.1,2600,0,-90
427.5792324,2.914893617,12.4,2600,0,-92
415.8557442,2.914893617,12.8,2600,0,-93
404.9024574,2.854166667,13,2600,0,-93
394.1788934,2.854166667,13.4,2600,0,-93
381.5258838,2.854166667,13.9,2600,0,-97
372.780096,2.854166667,14.2,2600,0,-95
362.1077188,2.854166667,14.7,2600,1,-97
349.4939198,2.634615385,14.5,2600,0,-100
340.523127,2.58490566,14.7,2600,0,-99
329.8742185,2.58490566,15.3,2600,0,-100
318.9874606,2.537037037,15.6,2600,0,-97
313.1980204,2.537037037,16,2600,0,-95
309.6126612,2.58490566,16.4,2600,0,-95
306.7262623,2.58490566,16.6,2600,0,-98
302.8811648,2.58490566,16.8,2600,0,-100
296.1621178,2.58490566,17.2,2600,0,-90
298.080526,2.58490566,17.1,2600,0,-93
299.0401311,2.58490566,17,2600,0,-92
